feature,importance
R_hist_10,0.0013616156525801243
R_hist_12,0.001342978154379066
B_hist_11,0.0013419522454429617
G_hist_7,0.0013339639153485288
tfidf_829,0.00132764117904534
R_hist_23,0.0013163520641284222
R_hist_13,0.0013013693499860754
G_hist_27,0.0012975790814150432
R_hist_9,0.001294905992203957
G_hist_16,0.0012800306806263775
R_hist_25,0.0012774875110392013
tfidf_678,0.0012604893318736213
G_hist_14,0.0012582082115922086
tfidf_540,0.0012503409248320607
G_hist_31,0.001249453125270508
R_hist_29,0.001246005595692489
R_hist_24,0.0012432033453398683
B_hist_19,0.0012426342317283048
tfidf_415,0.001215735967835838
R_hist_22,0.0012097717436157453
B_hist_25,0.0012044435795938952
R_median,0.001204156428791089
tfidf_155,0.0011987035376011038
G_hist_15,0.0011745727899579261
B_hist_29,0.0011717513184684313
R_hist_16,0.0011702514339047637
B_hist_18,0.001161222519145147
R_hist_19,0.0011582357923979594
R_hist_20,0.001146706906848697
width,0.001142236436970889
G_hist_13,0.001142167028604441
tfidf_943,0.0011350914940960535
G_hist_24,0.0011015843769791739
tfidf_670,0.0010847466089885021
G_hist_20,0.0010794771204858079
R_hist_18,0.0010710945515994567
G_hist_29,0.0010696298881866903
B_hist_7,0.0010597609149128513
B_hist_27,0.0010261971318169083
G_hist_21,0.0010066111980879208
tfidf_978,0.0010009636475823598
tfidf_936,0.0009946238741430824
tfidf_687,0.0009919809377114113
B_hist_20,0.0009883213126499547
G_hist_23,0.0009803660108247758
G_median,0.000979899226290665
tfidf_258,0.0009761733241989818
R_hist_17,0.0009760448626675114
B_hist_17,0.0009620656068163856
R_hist_21,0.0009583025026181468
tfidf_895,0.0009581953248453133
tfidf_778,0.0009527637853752743
tfidf_227,0.0009454430014238692
tfidf_273,0.0009255355598384752
B_hist_12,0.0009221563311525126
B_hist_22,0.0009191602377969776
tfidf_551,0.0009162522227309684
tfidf_289,0.0008961577667229556
tfidf_875,0.0008934351953030997
tfidf_2,0.0008794192905582476
B_hist_10,0.0008553597390294369
tfidf_285,0.0008453797076487721
tfidf_954,0.0008401096515415423
tfidf_788,0.0008384833499152062
tfidf_833,0.0008259915193305895
tfidf_794,0.0008117065539038238
gray_mean,0.0008018875222018567
tfidf_753,0.0007838949796050271
tfidf_342,0.0007749724180781361
tfidf_520,0.0007682171466491664
tfidf_276,0.0007633445801914545
tfidf_956,0.0007597858104145666
tfidf_290,0.0007542783400862059
B_hist_31,0.0007536768316138443
tfidf_362,0.000739681969582166
G_max,0.0007203279239890596
tfidf_796,0.0007084422332299444
tfidf_469,0.000707877446543128
tfidf_135,0.0007016081660735291
tfidf_129,0.000700252891945277
tfidf_208,0.0006967679959104944
tfidf_140,0.0006856308214094052
tfidf_554,0.0006610486446232713
tfidf_721,0.0006553058718170133
